Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age
7.85,Low Fat,0.162980276,Hard Drinks,145.2444,Small,Tier 1,Supermarket Type1,1451.444,29
13.15,Low Fat,0.020715913,Breads,83.5566,Small,Tier 1,Supermarket Type1,1268.349,29
10.1,Regular,0.053887301,Fruits and Vegetables,225.6088,,Tier 2,Supermarket Type1,4250.4672,19
15.7,Low Fat,0.160663021,Household,59.4562,Small,Tier 1,Supermarket Type1,829.5868,29
11.8,Regular,0.014115626,Frozen Foods,178.5344,,Tier 2,Supermarket Type1,3390.2536,24
14.65,Regular,0.099113429,Snack Foods,52.8666,Small,Tier 2,Supermarket Type1,461.3994,22
18.0,Low Fat,0.039231652,Snack Foods,145.1418,,Tier 2,Supermarket Type1,2648.5524,19
20.25,Regular,0.022936488,Baking Goods,240.8538,Small,Tier 2,Supermarket Type1,7931.6754,22
10.3,Regular,0.0,Fruits and Vegetables,189.053,,Tier 2,Supermarket Type1,5313.084,24
5.365,Regular,0.234733477,Seafood,173.4764,,Tier 3,Grocery Store,171.7764,28
7.825,Regular,0.149890395,Frozen Foods,159.0288,High,Tier 3,Supermarket Type1,1257.0304,39
8.27,Regular,0.214125129,Soft Drinks,183.9924,,Tier 3,Grocery Store,185.0924,28
14.85,Low Fat,0.15643727,Baking Goods,142.0812,,Tier 3,Grocery Store,284.9624,28
12.5,Low Fat,0.031097948,Fruits and Vegetables,103.899,Medium,Tier 1,Supermarket Type1,1960.781,27
,Regular,0.2004264,Baking Goods,88.8514,Small,Tier 1,Grocery Store,265.6542,41
,Regular,0.0,Frozen Foods,37.0506,Medium,Tier 3,Supermarket Type3,986.7156,41
9.6,Regular,0.02734361,Snack Foods,257.8304,Small,Tier 1,Supermarket Type1,1808.3128,29
4.61,Low Fat,0.123346085,Hard Drinks,172.5396,,Tier 2,Supermarket Type1,3663.2316,19
20.25,Low Fat,0.0,Household,145.6418,High,Tier 3,Supermarket Type1,3384.2614,39
17.75,Low Fat,0.058168807,Dairy,249.575,,Tier 3,Grocery Store,499.35,28
9.0,Low Fat,0.08630486,Snack Foods,168.0816,Medium,Tier 3,Supermarket Type2,2181.1608,17
,Low Fat,0.0,Baking Goods,100.1384,Medium,Tier 3,Supermarket Type3,2956.152,41
20.5,Regular,0.112316501,Fruits and Vegetables,193.9478,High,Tier 3,Supermarket Type1,4456.1994,39
,Regular,0.23653561,Starchy Foods,184.1924,Small,Tier 1,Grocery Store,185.0924,41
15.0,Regular,0.026950104,Baking Goods,220.9456,Medium,Tier 3,Supermarket Type2,1768.3648,17
5.175,Low Fat,0.037457098,Canned,83.4224,Medium,Tier 1,Supermarket Type1,1448.7808,27
15.15,Regular,0.066311153,Frozen Foods,145.776,,Tier 2,Supermarket Type1,3954.852,24
10.895,Low Fat,0.059834024,Fruits and Vegetables,133.5284,,Tier 3,Grocery Store,263.6568,28
6.13,Low Fat,0.076855207,Dairy,59.3536,Medium,Tier 1,Supermarket Type1,1470.0864,27
10.8,low fat,0.0,Hard Drinks,72.338,Medium,Tier 1,Supermarket Type1,805.618,27
,Low Fat,0.08279545,Frozen Foods,245.8776,Medium,Tier 3,Supermarket Type3,4705.8744,41
17.6,Regular,0.039381633,Snack Foods,98.041,Medium,Tier 3,Supermarket Type2,675.787,17
7.935,LF,0.017141985,Dairy,50.035,High,Tier 3,Supermarket Type1,149.805,39
13.6,LF,0.010033871,Household,177.937,Medium,Tier 3,Supermarket Type2,2293.681,17
8.26,Regular,0.032435437,Soft Drinks,124.873,Small,Tier 2,Supermarket Type1,2956.152,22
6.26,Low Fat,0.031599715,Household,111.3228,,Tier 2,Supermarket Type1,2431.5016,19
20.75,Low Fat,0.108879177,Snack Foods,161.5578,Medium,Tier 1,Supermarket Type1,320.9156,27
8.18,Low Fat,0.0,Household,140.5154,,Tier 2,Supermarket Type1,1701.7848,24
10.195,Low Fat,0.042113173,Snack Foods,42.5428,Medium,Tier 3,Supermarket Type2,878.856,17
,Regular,0.104786172,Snack Foods,172.2764,Medium,Tier 3,Supermarket Type3,1545.9876,41
7.67,Low Fat,0.309390255,Household,33.2216,,Tier 3,Grocery Store,138.4864,28
11.65,Low Fat,0.174049032,Dairy,52.9298,Small,Tier 1,Supermarket Type1,647.1576,29
13.1,Regular,0.098765906,Frozen Foods,196.3768,Small,Tier 2,Supermarket Type1,2167.8448,22
19.1,Low Fat,0.067676056,Household,40.8796,,Tier 2,Supermarket Type1,371.5164,19
16.75,Low Fat,0.060495243,Dairy,169.8106,High,Tier 3,Supermarket Type1,3251.1014,39
6.675,Low Fat,0.0,Snack Foods,92.9462,Medium,Tier 3,Supermarket Type2,1018.0082,17
9.3,Regular,0.03362713,Meat,156.1314,,Tier 2,Supermarket Type1,620.5256,19
16.25,LF,0.0,Canned,90.2804,Medium,Tier 3,Supermarket Type2,1653.8472,17
6.65,Low Fat,0.053397989,Canned,149.3734,,Tier 2,Supermarket Type1,296.9468,24
5.94,Regular,0.049163321,Breads,186.4556,,Tier 3,Grocery Store,563.2668,28
20.0,Regular,0.104245198,Canned,105.3622,Medium,Tier 1,Supermarket Type1,1270.3464,27
13.1,Regular,0.044281996,Fruits and Vegetables,178.5318,,Tier 2,Supermarket Type1,3067.3406,24
,Regular,0.067373081,Breads,258.8988,Medium,Tier 3,Supermarket Type3,3083.9856,41
15.6,Low Fat,0.087646694,Snack Foods,221.5798,High,Tier 3,Supermarket Type1,5509.495,39
17.6,LF,0.010096684,Snack Foods,160.4552,,Tier 2,Supermarket Type1,2599.2832,19
11.0,Regular,0.13341564,Canned,218.7798,,Tier 2,Supermarket Type1,2203.798,24
20.25,Regular,0.018789455,Fruits and Vegetables,222.0772,High,Tier 3,Supermarket Type1,3113.2808,39
,Regular,0.080697998,Frozen Foods,39.8506,Small,Tier 1,Grocery Store,37.9506,41
10.395,Regular,0.036957777,Meat,230.5352,,Tier 2,Supermarket Type1,4580.704,24
7.365,Low Fat,0.042552205,Fruits and Vegetables,225.172,Small,Tier 2,Supermarket Type1,3395.58,22
18.85,Low Fat,0.039723999,Snack Foods,41.048,,Tier 2,Supermarket Type1,918.804,24
,Low Fat,0.058444176,Soft Drinks,73.0696,Small,Tier 1,Grocery Store,223.7088,41
,Low Fat,0.036109413,Fruits and Vegetables,140.6154,Medium,Tier 3,Supermarket Type3,4538.0928,41
15.1,Regular,0.019965179,Frozen Foods,130.531,Medium,Tier 1,Supermarket Type1,908.817,27
20.2,Regular,0.121442754,Snack Foods,94.9752,Medium,Tier 1,Supermarket Type1,1342.2528,27
10.695,Regular,0.127727102,Dairy,121.144,Small,Tier 1,Supermarket Type1,1917.504,29
12.35,Low Fat,0.163941937,Household,117.0124,Small,Tier 1,Supermarket Type1,1540.6612,29
11.35,Low Fat,0.0,Snack Foods,52.4008,Small,Tier 2,Supermarket Type1,809.6128,22
17.0,Low Fat,0.136008489,Fruits and Vegetables,171.7106,,Tier 2,Supermarket Type1,1711.106,24
7.05,Low Fat,0.084966021,Snack Foods,111.1912,Small,Tier 1,Supermarket Type1,1965.4416,29
9.695,Low Fat,0.070843019,Hard Drinks,177.7344,,Tier 2,Supermarket Type1,1605.9096,19
6.78,Low Fat,0.066608487,Fruits and Vegetables,184.624,Small,Tier 2,Supermarket Type1,5406.296,22
,Low Fat,0.006665667,Household,164.1184,Medium,Tier 3,Supermarket Type3,3797.7232,41
9.1,Low Fat,0.134393836,Household,48.0718,,Tier 3,Grocery Store,47.2718,28
9.1,Low Fat,0.055514919,Household,112.5518,Medium,Tier 1,Supermarket Type1,341.5554,27
,Low Fat,0.054670967,Seafood,158.6604,Small,Tier 1,Grocery Store,316.9208,41
16.7,LF,0.022190488,Dairy,113.1886,,Tier 2,Supermarket Type1,3335.658,19
6.13,Low Fat,0.076891526,Dairy,61.5536,,Tier 2,Supermarket Type1,796.2968,24
14.15,Low Fat,0.035943717,Soft Drinks,40.5138,Small,Tier 1,Supermarket Type1,446.7518,29
20.7,Low Fat,0.09261307,Dairy,76.367,High,Tier 3,Supermarket Type1,306.268,39
5.155,Low Fat,0.083198341,Frozen Foods,246.0776,Small,Tier 1,Supermarket Type1,990.7104,29
15.35,Low Fat,0.096379585,Soft Drinks,196.5768,Small,Tier 2,Supermarket Type1,4729.8432,22
9.8,Regular,0.015087112,Meat,250.1408,Small,Tier 2,Supermarket Type1,4005.4528,22
10.695,Low Fat,0.06375108,Household,36.7848,Small,Tier 2,Supermarket Type1,782.9808,22
6.65,Low Fat,0.053372768,Canned,149.5734,Medium,Tier 1,Supermarket Type1,2524.0478,27
,Regular,0.04586701,Frozen Foods,37.9506,Medium,Tier 3,Supermarket Type3,910.8144,41
14.65,Low Fat,0.0,Household,161.5552,,Tier 3,Grocery Store,324.9104,28
,Regular,0.029023048,Canned,177.837,Medium,Tier 3,Supermarket Type3,6704.606,41
5.26,Regular,0.041837331,Baking Goods,161.8868,Medium,Tier 1,Supermarket Type1,5077.3908,27
12.15,Low Fat,0.030815427,Frozen Foods,252.0698,,Tier 3,Grocery Store,1014.6792,28
,Regular,0.072762086,Fruits and Vegetables,120.9072,Small,Tier 1,Grocery Store,122.5072,41
18.25,Low Fat,0.132596101,Frozen Foods,226.2062,,Tier 3,Grocery Store,677.1186,28
7.905,Low Fat,0.0,Frozen Foods,109.1254,,Tier 2,Supermarket Type1,1627.881,19
15.25,Low Fat,0.061434045,Household,130.9968,Medium,Tier 3,Supermarket Type2,2348.9424,17
7.075,Low Fat,0.058676973,Dairy,142.0128,,Tier 2,Supermarket Type1,2588.6304,19
11.8,Regular,0.057373797,Meat,151.4366,High,Tier 3,Supermarket Type1,1360.2294,39
9.1,Low Fat,0.173973652,Baking Goods,126.5362,High,Tier 3,Supermarket Type1,1761.7068,39
7.05,Regular,0.05587277,Breads,222.1088,,Tier 2,Supermarket Type1,4026.7584,19
15.2,Low Fat,0.019064377,Snack Foods,238.2248,Medium,Tier 1,Supermarket Type1,3555.372,27
5.82,Low Fat,0.080640478,Household,167.779,Small,Tier 1,Supermarket Type1,2886.243,29
8.39,Low Fat,0.120474481,Household,165.5868,Small,Tier 2,Supermarket Type1,1965.4416,22
8.575,reg,0.071958197,Dairy,195.3794,Medium,Tier 1,Supermarket Type1,3511.4292,27
16.2,Low Fat,0.036057562,Fruits and Vegetables,260.3278,Medium,Tier 3,Supermarket Type2,2342.9502,17
20.2,Low Fat,0.0,Household,187.1898,High,Tier 3,Supermarket Type1,2993.4368,39
7.75,Low Fat,0.043238822,Baking Goods,92.5436,Small,Tier 1,Supermarket Type1,1701.7848,29
5.325,Regular,0.0,Dairy,55.8298,Small,Tier 2,Supermarket Type1,485.3682,22
,Regular,0.13956116,Seafood,170.4764,Medium,Tier 3,Supermarket Type3,3435.528,41
15.6,Low Fat,0.081562686,Baking Goods,112.7544,,Tier 2,Supermarket Type1,1118.544,19
,Low Fat,0.015385857,Frozen Foods,208.9928,Medium,Tier 3,Supermarket Type3,9678.0688,41
11.8,Regular,0.0,Meat,102.4674,,Tier 3,Grocery Store,203.7348,28
12.65,Regular,0.076474728,Frozen Foods,191.8846,,Tier 2,Supermarket Type1,1146.5076,19
18.6,Low Fat,0.118661426,Others,58.7588,Medium,Tier 3,Supermarket Type2,858.882,17
15.0,Low Fat,0.058346234,Snack Foods,44.0744,High,Tier 3,Supermarket Type1,633.8416,39
,Low Fat,0.028382853,Health and Hygiene,109.4596,Small,Tier 1,Grocery Store,647.1576,41
20.6,Low Fat,0.023585598,Fruits and Vegetables,94.7778,,Tier 2,Supermarket Type1,1314.2892,19
14.15,Low Fat,0.0,Household,197.111,Medium,Tier 1,Supermarket Type1,3731.809,27
6.17,Low Fat,0.010630949,Meat,65.9826,Small,Tier 1,Supermarket Type1,1162.4868,29
,Regular,0.043978369,Fruits and Vegetables,178.4318,Medium,Tier 3,Supermarket Type3,2526.0452,41
12.3,Low Fat,0.009463757,Baking Goods,73.838,,Tier 2,Supermarket Type1,1245.046,19
9.065,Low Fat,0.115233813,Frozen Foods,94.4094,High,Tier 3,Supermarket Type1,2856.282,39
,Regular,0.05336162,Canned,200.1742,Medium,Tier 3,Supermarket Type3,6171.3002,41
20.2,Low Fat,0.074177667,Household,93.2462,High,Tier 3,Supermarket Type1,1018.0082,39
4.59,Low Fat,0.070780558,Soft Drinks,114.586,Small,Tier 1,Supermarket Type1,1245.046,29
6.11,Regular,0.0,Fruits and Vegetables,131.2968,,Tier 3,Grocery Store,260.9936,28
13.65,Regular,0.026643448,Meat,37.9532,Medium,Tier 1,Supermarket Type1,862.8768,27
11.15,Regular,0.008326735,Dairy,149.9708,,Tier 2,Supermarket Type1,1956.1204,19
17.35,Regular,0.146527359,Seafood,147.905,Medium,Tier 1,Supermarket Type1,2247.075,27
12.5,Low Fat,0.020697723,Breads,198.8742,Small,Tier 1,Supermarket Type1,5773.1518,29
18.35,Low Fat,0.030556922,Health and Hygiene,190.6162,,Tier 2,Supermarket Type1,3271.0754,24
16.7,reg,0.117026714,Baking Goods,189.2214,,Tier 3,Grocery Store,188.4214,28
6.095,Low Fat,0.08152738,Others,140.3154,Medium,Tier 3,Supermarket Type2,1843.6002,17
6.76,Regular,0.028982682,Fruits and Vegetables,79.596,Small,Tier 1,Supermarket Type1,1438.128,29
13.5,Regular,0.159587755,Fruits and Vegetables,145.3102,High,Tier 3,Supermarket Type1,729.051,39
8.39,Low Fat,0.121178848,Household,165.1868,,Tier 2,Supermarket Type1,2784.3756,19
14.65,Low Fat,0.083698962,Household,163.4552,Medium,Tier 3,Supermarket Type2,2599.2832,17
5.51,Low Fat,0.034668802,Health and Hygiene,98.5726,,Tier 2,Supermarket Type1,1761.7068,19
16.35,Low Fat,0.090562192,Household,198.211,Small,Tier 1,Supermarket Type1,1964.11,29
13.8,Regular,0.056825065,Snack Foods,230.9984,High,Tier 3,Supermarket Type1,4633.968,39
20.85,Low Fat,0.021362955,Fruits and Vegetables,103.2306,Medium,Tier 1,Supermarket Type1,2404.2038,27
20.25,Regular,0.102704495,Canned,94.312,Small,Tier 2,Supermarket Type1,2982.784,22
20.75,Low Fat,0.025169703,Health and Hygiene,150.4734,Medium,Tier 1,Supermarket Type1,1187.7872,27
16.2,Regular,0.016650191,Frozen Foods,97.4726,Small,Tier 2,Supermarket Type1,1174.4712,22
10.695,Regular,0.086764795,Snack Foods,156.7972,Small,Tier 2,Supermarket Type1,3427.5384,22
18.6,Low Fat,0.015858893,Snack Foods,152.9366,,Tier 2,Supermarket Type1,453.4098,19
,Low Fat,0.018275994,Canned,115.2808,Small,Tier 1,Grocery Store,117.1808,41
6.92,Low Fat,0.038454076,Dairy,61.5852,Small,Tier 1,Supermarket Type1,813.6076,29
7.47,Regular,0.153011599,Frozen Foods,215.2218,,Tier 2,Supermarket Type1,3419.5488,19
9.3,reg,0.033489979,Meat,156.6314,Medium,Tier 1,Supermarket Type1,1241.0512,27
12.65,Regular,0.127283051,Frozen Foods,191.7846,,Tier 3,Grocery Store,382.1692,28
,Low Fat,0.113669629,Canned,89.0198,Small,Tier 1,Grocery Store,174.4396,41
17.85,Low Fat,0.02492239,Soft Drinks,153.4998,Medium,Tier 3,Supermarket Type2,2922.1962,17
15.7,Regular,0.01903743,Fruits and Vegetables,60.5536,,Tier 2,Supermarket Type1,490.0288,19
,Regular,0.0,Snack Foods,58.7588,Small,Tier 1,Grocery Store,400.8116,41
11.3,Regular,0.054637635,Meat,93.3094,Medium,Tier 1,Supermarket Type1,3046.7008,27
12.15,Low Fat,0.018485511,Frozen Foods,253.1698,Medium,Tier 3,Supermarket Type2,1522.0188,17
16.2,Low Fat,0.044472637,Frozen Foods,43.3454,,Tier 2,Supermarket Type1,922.7988,19
7.81,Regular,0.055451725,Canned,122.6046,Medium,Tier 3,Supermarket Type2,2365.5874,17
,Regular,0.051643608,Snack Foods,107.3622,Small,Tier 1,Grocery Store,317.5866,41
17.6,Low Fat,0.041851756,Soft Drinks,162.7526,,Tier 2,Supermarket Type1,3124.5994,19
18.5,Regular,0.0,Dairy,144.2102,Small,Tier 2,Supermarket Type1,2041.3428,22
5.88,Low Fat,0.003606726,Hard Drinks,154.1998,Medium,Tier 3,Supermarket Type2,1384.1982,17
,Regular,0.093883945,Canned,200.4742,Small,Tier 1,Grocery Store,398.1484,41
6.55,Low Fat,0.024521191,Breads,100.6332,Small,Tier 2,Supermarket Type1,2665.8632,22
6.305,Regular,0.123115764,Snack Foods,95.6436,Small,Tier 1,Supermarket Type1,661.8052,29
5.03,Low Fat,0.008644894,Household,122.6756,Small,Tier 2,Supermarket Type1,2665.8632,22
19.0,Regular,0.097313129,Frozen Foods,48.0718,Small,Tier 1,Supermarket Type1,992.7078,29
18.0,Low Fat,0.038978526,Snack Foods,148.6418,High,Tier 3,Supermarket Type1,2795.6942,39
20.5,Low Fat,0.036344721,Fruits and Vegetables,122.3756,,Tier 2,Supermarket Type1,2544.6876,19
7.485,Low Fat,0.069514712,Snack Foods,108.7228,,Tier 2,Supermarket Type1,1326.2736,19
16.1,Regular,0.047801883,Frozen Foods,127.4362,Small,Tier 1,Supermarket Type1,2265.0516,29
11.65,Regular,0.076002991,Snack Foods,83.4908,,Tier 2,Supermarket Type1,503.3448,24
12.6,Low Fat,0.056394771,Seafood,51.3982,,Tier 2,Supermarket Type1,473.3838,19
8.52,Low Fat,0.027114238,Soft Drinks,151.9682,,Tier 2,Supermarket Type1,1677.1502,24
6.67,Regular,0.12332588,Snack Foods,90.2514,High,Tier 3,Supermarket Type1,974.0654,39
9.035,Regular,0.174450933,Meat,151.0708,,Tier 2,Supermarket Type1,2708.4744,19
9.8,LF,0.02316823,Soft Drinks,47.506,,Tier 3,Grocery Store,186.424,28
10.85,Low Fat,0.162107603,Snack Foods,106.3622,High,Tier 3,Supermarket Type1,2117.244,39
6.89,Regular,0.136984147,Snack Foods,192.682,Medium,Tier 3,Supermarket Type2,2703.148,17
13.15,Low Fat,0.024651269,Household,179.5686,Small,Tier 1,Supermarket Type1,1422.1488,29
9.8,Low Fat,0.026192765,Snack Foods,215.685,Medium,Tier 3,Supermarket Type2,649.155,17
,Regular,0.098663652,Dairy,62.9194,Medium,Tier 3,Supermarket Type3,2105.2596,41
12.6,Regular,0.031598706,Baking Goods,172.9764,,Tier 2,Supermarket Type1,2233.0932,24
13.65,Regular,0.031573246,Canned,99.47,Medium,Tier 3,Supermarket Type2,299.61,17
16.7,Regular,0.052493162,Frozen Foods,113.9176,Medium,Tier 1,Supermarket Type1,2519.3872,27
,Regular,0.04016342,Snack Foods,181.166,Medium,Tier 3,Supermarket Type3,3415.554,41
17.85,Low Fat,0.01806055,Health and Hygiene,97.0094,,Tier 2,Supermarket Type1,2094.6068,24
,Regular,0.086837543,Frozen Foods,106.2306,Medium,Tier 3,Supermarket Type3,2090.612,41
16.5,Low Fat,0.012689327,Health and Hygiene,39.7506,Medium,Tier 3,Supermarket Type2,227.7036,17
4.615,Regular,0.102407778,Canned,234.33,,Tier 2,Supermarket Type1,3961.51,19
10.65,Regular,0.085617517,Snack Foods,229.3668,,Tier 2,Supermarket Type1,2303.668,19
12.8,Low Fat,0.069902438,Starchy Foods,261.3252,Medium,Tier 3,Supermarket Type2,3410.2276,17
16.75,LF,0.075889215,Health and Hygiene,37.6532,,Tier 2,Supermarket Type1,575.2512,24
12.15,Low Fat,0.021757269,Breads,165.0184,Medium,Tier 1,Supermarket Type1,3302.368,27
5.5,Low Fat,0.047059016,Others,100.1016,High,Tier 3,Supermarket Type1,2125.2336,39
4.61,Low Fat,0.123151947,Hard Drinks,175.2396,Medium,Tier 3,Supermarket Type2,2093.2752,17
,Regular,0.025616191,Snack Foods,188.1872,Medium,Tier 3,Supermarket Type3,6239.8776,41
8.575,Low Fat,0.023866079,Soft Drinks,107.128,High,Tier 3,Supermarket Type1,958.752,39
18.75,Low Fat,0.010381661,Household,207.8954,Medium,Tier 1,Supermarket Type1,2292.3494,27
8.985,Low Fat,0.184440421,Fruits and Vegetables,99.67,,Tier 2,Supermarket Type1,3295.71,19
7.435,Low Fat,0.123338082,Starchy Foods,206.1638,Medium,Tier 3,Supermarket Type2,1656.5104,17
17.25,Regular,0.159165324,Fruits and Vegetables,63.4194,Small,Tier 2,Supermarket Type1,1547.985,22
10.8,Low Fat,0.138171603,Dairy,191.4504,,Tier 3,Grocery Store,575.2512,28
17.7,Low Fat,0.020993364,Household,166.8474,,Tier 3,Grocery Store,168.4474,28
20.7,Low Fat,0.0,Dairy,78.467,Small,Tier 1,Supermarket Type1,1607.907,29
16.5,Regular,0.159720671,Snack Foods,144.5128,Small,Tier 1,Supermarket Type1,3595.32,29
16.75,Low Fat,0.081485126,Fruits and Vegetables,258.0988,,Tier 2,Supermarket Type1,8994.958,24
6.115,Regular,0.011419301,Frozen Foods,91.0488,Medium,Tier 3,Supermarket Type2,1629.8784,17
18.85,Low Fat,0.137410256,Hard Drinks,161.7578,Medium,Tier 1,Supermarket Type1,1604.578,27
20.35,Regular,0.0,Meat,81.6276,Small,Tier 1,Supermarket Type1,1787.0072,29
7.945,Low Fat,0.015863075,Snack Foods,161.821,High,Tier 3,Supermarket Type1,2446.815,39
13.65,Low Fat,0.065576228,Frozen Foods,47.7402,High,Tier 3,Supermarket Type1,643.1628,39
8.365,Low Fat,0.071992202,Hard Drinks,38.3506,,Tier 2,Supermarket Type1,986.7156,24
,Low Fat,0.236616754,Snack Foods,217.6482,Small,Tier 1,Grocery Store,219.0482,41
18.85,Low Fat,0.055671582,Baking Goods,133.3284,,Tier 2,Supermarket Type1,263.6568,19
6.8,Low Fat,0.03749705,Baking Goods,49.9034,Small,Tier 1,Supermarket Type1,194.4136,29
20.35,Low Fat,0.039428167,Household,127.9678,Medium,Tier 3,Supermarket Type2,3560.6984,17
10.5,Low Fat,0.011285795,Household,235.8248,Small,Tier 2,Supermarket Type1,4266.4464,22
13.0,Low Fat,0.041789718,Household,256.1014,High,Tier 3,Supermarket Type1,2550.014,39
7.905,Low Fat,0.010003987,Snack Foods,250.7408,High,Tier 3,Supermarket Type1,5757.8384,39
4.785,Low Fat,0.0931174,Breads,118.6098,,Tier 2,Supermarket Type1,361.5294,19
,Low Fat,0.008519718,Health and Hygiene,116.9492,Medium,Tier 3,Supermarket Type3,2780.3808,41
18.0,Low Fat,0.017979145,Starchy Foods,178.3686,Medium,Tier 3,Supermarket Type2,3199.8348,17
13.15,Low Fat,0.020698674,Breads,86.3566,High,Tier 3,Supermarket Type1,1099.2358,39
,Low Fat,0.159394437,Others,105.6938,Small,Tier 1,Grocery Store,214.3876,41
11.6,Regular,0.079376029,Frozen Foods,81.7276,,Tier 2,Supermarket Type1,1949.4624,19
15.2,Low Fat,0.162462044,Health and Hygiene,117.6492,,Tier 3,Grocery Store,347.5476,28
8.05,Regular,0.0,Fruits and Vegetables,257.5646,High,Tier 3,Supermarket Type1,5153.292,39
14.15,Regular,0.024503972,Fruits and Vegetables,195.111,Medium,Tier 3,Supermarket Type2,982.055,17
,Low Fat,0.091042211,Household,162.6894,Medium,Tier 3,Supermarket Type3,2588.6304,41
12.35,Regular,0.064441812,Fruits and Vegetables,110.957,,Tier 3,Grocery Store,219.714,28
